GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
0500000US06029,06029,"Kern County, California",270359,3011,216821,4438,669,300,161112,5492,20922,2620,2562,844,6681,1371,46857,3395
0500000US06031,06031,"Kings County, California",43090,1044,34388,1622,69,94,26656,1681,2870,765,404,258,1249,557,7453,1186
0500000US06033,06033,"Lake County, California",24593,1484,17965,1668,104,127,12242,1317,3546,1024,838,508,946,648,5682,1110
0500000US06037,06037,"Los Angeles County, California",3305589,8089,2742936,10942,9686,1199,2299872,13617,238830,6187,38475,3154,92945,5157,469708,10004
0500000US06039,06039,"Madera County, California",44369,1495,33735,1789,218,194,23268,2056,2885,806,325,265,1628,715,9006,1260
0500000US06041,06041,"Marin County, California",106333,1579,97182,2037,294,188,88873,2249,5609,1237,935,372,1486,551,7665,1605
0500000US06045,06045,"Mendocino County, California",35439,1083,28784,1351,419,292,18302,1528,6082,1161,611,372,887,526,5768,1108
0500000US06047,06047,"Merced County, California",77713,1471,63802,1834,819,542,46567,2033,5748,1076,914,484,1965,659,11946,1419
0500000US06053,06053,"Monterey County, California",125740,2166,101704,2565,438,329,76358,2963,10326,1244,1799,666,1870,475,22166,2138
0500000US06055,06055,"Napa County, California",49561,1328,42919,1573,138,122,36685,1673,4564,810,439,226,765,336,5877,1215
0500000US06057,06057,"Nevada County, California",38708,1911,32961,1977,45,73,25698,2167,4781,950,702,312,1338,542,4409,1044
0500000US06059,06059,"Orange County, California",1032218,5228,934701,6768,2526,722,805822,7835,66806,3717,8499,1389,21321,2225,76196,4248
0500000US06061,06061,"Placer County, California",139104,2002,124864,2249,210,161,108769,2688,18652,1812,1459,490,3002,767,11238,1624
0500000US06065,06065,"Riverside County, California",715040,4938,611766,6089,1527,619,521458,6872,59795,3419,15997,2207,14468,1636,88806,4389
0500000US06067,06067,"Sacramento County, California",535090,3201,464443,4617,1588,604,390429,5425,40467,2869,4882,1086,11546,1616,59101,3828
0500000US06071,06071,"San Bernardino County, California",633173,4114,529262,5335,1543,542,428269,6701,59810,3220,8337,1596,27094,2752,76817,4305
0500000US06073,06073,"San Diego County, California",1110568,6697,984721,7971,1965,751,863113,9609,78728,3855,6869,1117,19788,2136,106059,5411
0500000US06075,06075,"San Francisco County, California",358703,4561,313942,5755,1227,464,284133,5572,11126,1486,3857,986,8767,1603,35994,3404
0500000US06077,06077,"San Joaquin County, California",227186,2066,185058,3158,564,263,149171,3692,18249,2122,1657,571,5345,955,36783,2755
0500000US06079,06079,"San Luis Obispo County, California",106312,2380,91799,2510,653,386,75432,2459,9406,1276,1336,541,2948,1012,11565,1902
0500000US06081,06081,"San Mateo County, California",263445,2321,239675,3337,449,221,218755,3595,12661,1361,3140,949,4562,1081,19208,2013
0500000US06083,06083,"Santa Barbara County, California",142449,2099,123984,2684,1492,828,104992,2733,8613,1185,1110,449,2903,744,15562,1830
0500000US06085,06085,"Santa Clara County, California",635687,3094,578925,4608,1634,514,525063,5220,31036,2162,4137,825,13645,1691,43117,3615
0500000US06087,06087,"Santa Cruz County, California",96257,1860,85152,2573,208,200,73115,2923,6257,1275,2496,924,1933,674,9172,1680
0500000US06089,06089,"Shasta County, California",72095,1299,57113,1679,572,362,45271,1874,7495,1245,915,451,2564,825,12418,1351
0500000US06095,06095,"Solano County, California",149172,1723,134163,2311,43,33,113545,3102,10627,1428,1198,559,2527,733,12482,1943
0500000US06097,06097,"Sonoma County, California",187504,2620,164486,3297,658,340,139020,3381,15081,1641,2441,842,4449,954,18569,2297
0500000US06099,06099,"Stanislaus County, California",172881,1805,143912,3346,414,239,111927,3599,14158,1595,2085,693,2760,757,26209,2832
0500000US06101,06101,"Sutter County, California",32345,817,26512,1309,234,167,18657,1295,3046,814,127,140,484,262,5349,1098
0500000US06107,06107,"Tulare County, California",135648,1649,107650,2632,521,403,68507,3223,11790,1563,1322,426,2911,781,25087,2161
0500000US06111,06111,"Ventura County, California",268091,2469,232180,3662,745,344,207206,4010,14578,1487,2060,547,3387,846,32524,2432
0500000US06113,06113,"Yolo County, California",73055,1314,63852,2109,273,231,50623,2280,4437,872,699,448,2194,864,7009,1231
0500000US06115,06115,"Yuba County, California",26699,679,21523,1150,160,187,15493,1377,3107,886,101,116,1125,639,4051,902
0500000US08001,08001,"Adams County, Colorado",163122,1428,137942,2615,500,281,120596,2903,11636,1374,571,273,3832,962,21348,2052
0500000US08005,08005,"Arapahoe County, Colorado",235942,2086,208867,2924,849,382,179814,3402,13460,1362,2886,833,6581,1402,20494,2132
0500000US08013,08013,"Boulder County, Colorado",123820,2004,112322,2541,316,233,100844,2649,6773,1106,1022,476,3595,848,7903,1276
0500000US08014,08014,"Broomfield County, Colorado",26269,479,24858,697,68,76,22893,915,1381,448,96,124,253,200,1158,518
0500000US08031,08031,"Denver County, Colorado",292003,2724,250886,3862,913,450,219759,4580,13450,1744,3787,1117,7771,1312,33346,3207
0500000US08035,08035,"Douglas County, Colorado",120125,1373,115640,1706,320,194,105224,2165,12349,1615,1285,714,1289,471,3196,784
0500000US08041,08041,"El Paso County, Colorado",257508,2763,235051,3161,1241,550,200119,3668,18075,1906,1382,434,4604,992,17853,1729
0500000US08059,08059,"Jefferson County, Colorado",230890,1877,209964,2715,1440,459,184870,2925,18313,1412,1269,424,5715,1298,15211,1823
0500000US08069,08069,"Larimer County, Colorado",131407,1911,116578,2564,523,298,100097,2650,10201,1417,959,423,4481,1235,10348,1611
0500000US08077,08077,"Mesa County, Colorado",60188,1483,52692,1906,315,254,44203,2281,3427,884,242,233,1204,432,6292,1207
0500000US08101,08101,"Pueblo County, Colorado",62275,1632,48494,2204,332,193,38209,2195,5587,885,433,267,2119,790,11662,1692
0500000US08123,08123,"Weld County, Colorado",102087,1317,86699,2024,256,149,69939,2337,10419,1245,918,354,3675,982,11713,1405
0500000US09001,09001,"Fairfield County, Connecticut",335318,3387,292180,4327,798,360,264998,4858,8873,1660,3225,954,9239,1789,33899,2829
0500000US09003,09003,"Hartford County, Connecticut",350369,2526,289008,3869,1251,530,250278,3970,11759,1981,4943,1171,9207,1604,52154,2961
0500000US09005,09005,"Litchfield County, Connecticut",74105,1681,64549,2170,316,215,59377,2146,1719,535,666,391,2172,722,7384,1230
0500000US09007,09007,"Middlesex County, Connecticut",66002,1801,56331,2158,80,94,50409,2138,2302,770,649,381,1191,533,8480,1504
0500000US09009,09009,"New Haven County, Connecticut",327560,3536,272274,4836,2617,922,241891,5286,13571,2082,2445,939,9648,1746,45638,3675
0500000US09011,09011,"New London County, Connecticut",105113,2058,90302,2581,360,206,78836,2778,5546,1140,784,305,2563,944,12248,1751
0500000US09013,09013,"Tolland County, Connecticut",54068,1539,46306,1975,144,122,42519,1791,1260,489,1222,682,1503,866,6259,1215
0500000US09015,09015,"Windham County, Connecticut",44734,1183,36715,1657,240,177,31556,1785,1752,633,120,92,947,513,7072,1171
0500000US10001,10001,"Kent County, Delaware",64452,1537,54683,2200,184,170,44549,2221,2976,784,663,472,1141,452,8628,1577
0500000US10003,10003,"New Castle County, Delaware",203782,2314,173800,3407,481,243,160163,3783,6318,1172,2566,857,8232,1586,21750,2222
0500000US10005,10005,"Sussex County, Delaware",82851,2545,64982,2494,200,172,52182,2751,4865,876,963,389,1990,656,15879,1529
0500000US11001,11001,"District of Columbia, District of Columbia",281241,3152,224807,4345,390,289,197661,4263,9557,1532,3583,1051,6796,1351,49638,3520
0500000US12001,12001,"Alachua County, Florida",94428,3539,78650,3330,264,181,67510,3395,4016,960,1150,697,3182,825,12596,1821
0500000US12005,12005,"Bay County, Florida",70330,2729,59937,2756,279,169,48140,2646,3480,994,648,552,1222,487,9171,1669
0500000US12009,12009,"Brevard County, Florida",226021,4123,196633,4669,952,421,174595,4664,11744,1577,1588,596,5367,1144,24021,2771
0500000US12011,12011,"Broward County, Florida",681474,7066,563887,7531,1816,514,483372,7781,39755,3286,20391,2995,30545,3585,87042,4815
0500000US12015,12015,"Charlotte County, Florida",75147,2941,64121,2979,674,400,54602,2812,4188,868,1138,609,1711,561,9315,1706
0500000US12017,12017,"Citrus County, Florida",63581,2500,51183,2844,330,295,42061,2442,3723,1065,745,493,2026,805,10372,2050
0500000US12019,12019,"Clay County, Florida",74130,1242,66053,2006,154,216,53954,2800,4782,1188,839,539,1127,732,6950,1547
0500000US12021,12021,"Collier County, Florida",139522,4307,118128,4385,996,848,104490,4362,6514,1285,764,453,4473,1181,16921,1849
0500000US12023,12023,"Columbia County, Florida",24215,1165,19749,1452,144,141,11747,1347,2672,837,986,505,751,454,3715,1016
0500000US12031,12031,"Duval County, Florida",353946,4959,289773,5012,975,474,242543,5785,16833,1850,2573,635,12795,1916,51378,3714
0500000US12033,12033,"Escambia County, Florida",118702,2712,99523,3024,370,239,86328,3345,6018,1221,711,347,3730,1070,15449,1795
0500000US12035,12035,"Flagler County, Florida",41311,1902,32112,2022,188,162,26856,1784,2068,696,516,356,3112,1061,6087,1315
0500000US12053,12053,"Hernando County, Florida",74262,2002,61470,2345,145,144,54509,2426,2761,720,852,499,1615,575,11177,1695
0500000US12055,12055,"Highlands County, Florida",38808,2109,27647,1942,613,374,20495,1727,2491,735,263,221,1015,590,10146,1508
0500000US12057,12057,"Hillsborough County, Florida",514487,5129,443610,6655,1323,454,384776,6852,16348,2102,3457,913,13806,2245,57071,3789
0500000US12061,12061,"Indian River County, Florida",55427,2857,46007,2709,79,96,41132,2567,2854,701,241,170,1169,497,8251,1633
0500000US12069,12069,"Lake County, Florida",128888,3114,108709,3161,682,457,89928,3203,7456,1238,2312,992,3716,1015,16463,2115
0500000US12071,12071,"Lee County, Florida",261735,5295,215794,5028,2247,1031,177675,4906,17159,1934,2560,642,10155,1612,35786,3191
0500000US12073,12073,"Leon County, Florida",112119,2406,99621,2824,508,307,86772,3018,4275,1053,660,384,3980,1077,8518,1293
0500000US12081,12081,"Manatee County, Florida",142465,2824,115477,2987,495,319,100132,2960,4764,1167,1514,629,7076,1405,19912,2398
0500000US12083,12083,"Marion County, Florida",134239,3539,104239,4052,942,641,84621,4445,9431,1534,1231,474,3785,1209,26215,2972
0500000US12085,12085,"Martin County, Florida",62976,2406,51093,2417,131,175,44566,2268,2445,816,771,568,2287,781,9596,1591
0500000US12086,12086,"Miami-Dade County, Florida",880766,6091,659876,7046,2721,853,531088,7309,62860,3978,9507,1905,36620,2667,184270,6365
0500000US12087,12087,"Monroe County, Florida",30318,1827,25174,1713,0,221,21501,1698,1711,481,489,324,1275,479,3869,818
0500000US12089,12089,"Nassau County, Florida",30547,1471,26480,1930,479,636,21188,1944,2431,729,750,486,853,818,3214,1179
0500000US12091,12091,"Okaloosa County, Florida",76102,2334,63776,2715,538,291,56341,2639,3971,1157,0,221,4409,1327,7917,1436
0500000US12095,12095,"Orange County, Florida",468515,4842,402644,6626,520,289,350910,7567,21840,2234,4866,1299,9451,1904,56420,4797
0500000US12097,12097,"Osceola County, Florida",97569,3624,80634,3693,539,302,66177,3728,3841,1043,330,270,4474,1322,12461,2224
0500000US12099,12099,"Palm Beach County, Florida",536446,6570,455065,6284,2376,750,374363,6117,27539,2295,3742,791,15092,1965,66289,3557
0500000US12101,12101,"Pasco County, Florida",195628,2957,154260,3480,1246,467,133176,3487,7169,1144,1137,433,8997,1783,32371,2596
0500000US12103,12103,"Pinellas County, Florida",407268,5562,335831,7305,1705,597,295122,7352,13287,1888,2664,904,11318,1904,60119,4828
0500000US12105,12105,"Polk County, Florida",226429,3850,147142,3944,866,530,121076,3784,11336,1356,1844,575,35536,3973,43751,2634
0500000US12107,12107,"Putnam County, Florida",28025,1357,19311,1450,205,154,13598,1382,2591,704,245,172,1071,588,7643,1114
0500000US12109,12109,"St. Johns County, Florida",84187,2400,72757,2801,521,240,65286,2926,5688,1413,981,552,4839,1844,6591,1486
0500000US12111,12111,"St. Lucie County, Florida",111617,3321,92582,3950,792,513,77954,4332,6625,1678,586,456,2656,793,16379,2251
0500000US12113,12113,"Santa Rosa County, Florida",61817,1845,57095,1680,319,304,48034,2137,5355,1384,831,542,421,405,4301,957
0500000US12115,12115,"Sarasota County, Florida",176191,4327,147515,4649,577,311,125724,4469,6517,1098,1414,516,6763,1763,21913,2241
0500000US12117,12117,"Seminole County, Florida",167549,2524,150950,2954,1054,619,130872,3051,7711,1399,840,450,2387,934,14212,1781
0500000US12119,12119,"Sumter County, Florida",51781,2926,44829,2900,481,469,38645,2919,3563,960,882,612,1343,666,5609,1172
0500000US12127,12127,"Volusia County, Florida",214039,4010,164553,4406,1201,453,129545,4305,13245,1976,4615,1204,9175,1732,40311,3148
0500000US12131,12131,"Walton County, Florida",27207,2120,21691,1951,0,221,17811,1868,2636,915,1152,534,936,525,4580,1086
0500000US13013,13013,"Barrow County, Georgia",24865,971,21231,1049,157,232,17393,1266,2228,523,300,252,645,351,2989,712
0500000US13015,13015,"Bartow County, Georgia",36430,1317,31438,1440,64,74,22298,1759,1793,645,423,323,439,238,4553,921
0500000US13021,13021,"Bibb County, Georgia",57692,1763,42697,1930,102,122,36992,1770,2566,753,752,501,1408,610,13587,1707
0500000US13031,13031,"Bulloch County, Georgia",26411,1512,20747,1583,56,79,15943,1503,1402,491,599,507,798,547,4866,936
0500000US13045,13045,"Carroll County, Georgia",40516,1473,33414,1956,33,56,25976,2131,2251,764,178,172,1462,656,5640,1178
0500000US13047,13047,"Catoosa County, Georgia",24743,1128,21198,1056,344,384,17948,1229,948,458,389,355,279,349,3266,814
0500000US13051,13051,"Chatham County, Georgia",110185,1840,94488,2501,255,210,78762,2775,4257,1006,1621,869,3053,935,12644,1453
0500000US13057,13057,"Cherokee County, Georgia",84088,1934,78640,2048,505,498,70748,2365,6582,1420,605,402,269,265,5179,1324
0500000US13059,13059,"Clarke County, Georgia",47563,1363,37838,1938,133,148,33125,2139,2212,680,108,119,2390,699,7335,1433
0500000US13063,13063,"Clayton County, Georgia",94346,2051,77071,2964,397,257,60465,2850,5953,1122,608,378,2879,1070,14396,2036
0500000US13067,13067,"Cobb County, Georgia",277949,2711,251651,3697,1011,523,221275,4361,16676,2185,1879,685,4258,1272,22040,2533
0500000US13073,13073,"Columbia County, Georgia",47513,1934,38548,2568,63,116,32619,2349,2579,834,222,242,904,732,8061,2065
0500000US13077,13077,"Coweta County, Georgia",50503,1202,44515,1513,187,183,37052,1678,5122,1159,737,414,1553,729,4435,1137
0500000US13089,13089,"DeKalb County, Georgia",281356,3760,236826,5051,661,434,198997,5202,16201,2026,2696,987,7629,1788,36901,3258
0500000US13095,13095,"Dougherty County, Georgia",34264,1537,24543,1997,0,218,17740,1849,2341,666,293,223,1548,647,8173,1359
0500000US13097,13097,"Douglas County, Georgia",48901,1209,34590,1997,0,218,29252,1997,3024,857,490,447,9095,1892,5216,1174
0500000US13113,13113,"Fayette County, Georgia",40046,922,35132,1400,145,125,31103,1435,2770,770,258,262,1758,828,3156,825
0500000US13115,13115,"Floyd County, Georgia",35411,1199,28249,1415,0,218,21684,1387,1904,648,356,436,732,350,6430,1072
0500000US13117,13117,"Forsyth County, Georgia",72208,1311,66038,1573,171,155,60670,1808,5113,943,319,273,1091,485,5079,1067
0500000US13121,13121,"Fulton County, Georgia",396184,4547,339355,5385,431,402,287572,5669,26377,3513,3833,1216,15393,2579,41436,3178
0500000US13127,13127,"Glynn County, Georgia",31757,2289,25448,2161,32,53,22023,1965,1760,775,513,336,398,342,5911,1433
0500000US13135,13135,"Gwinnett County, Georgia",290405,2752,255867,4366,768,367,227449,5197,23405,2598,2368,880,7094,1760,27444,3778
0500000US13139,13139,"Hall County, Georgia",62038,1709,52623,1965,96,118,39595,2201,4315,901,283,182,1078,557,8337,1204
0500000US13151,13151,"Henry County, Georgia",74473,1560,67175,2355,97,159,58346,2415,7794,1770,366,316,1797,938,5501,1392
0500000US13153,13153,"Houston County, Georgia",55901,1389,45845,2522,153,180,38966,2292,3243,1094,208,159,1954,1142,8102,1842
0500000US13179,13179,"Liberty County, Georgia",22952,1001,19279,1186,24,43,16615,1303,1453,461,148,176,410,301,3263,975
0500000US13185,13185,"Lowndes County, Georgia",40835,1341,30493,1858,90,90,25032,2144,2222,671,474,408,2428,959,7914,1292
0500000US13215,13215,"Muscogee County, Georgia",73051,2017,57345,2416,33,54,45438,2316,4038,985,5101,1370,1732,613,13974,1643
0500000US13217,13217,"Newton County, Georgia",35825,1090,28446,1746,0,218,22734,1966,2671,761,138,145,2138,936,5241,1243
0500000US13223,13223,"Paulding County, Georgia",53249,1006,46189,1794,0,218,37882,2434,5128,1393,280,285,3314,1300,3746,990
0500000US13245,13245,"Richmond County, Georgia",75909,2070,57726,2782,255,266,45273,2957,5253,1259,751,509,3700,1229,14483,1728
0500000US13247,13247,"Rockdale County, Georgia",30381,1165,22685,1684,0,218,19326,1770,2194,895,117,217,2178,862,5518,1258
0500000US13285,13285,"Troup County, Georgia",24493,1292,17549,1503,56,93,13594,1512,2533,817,565,366,626,407,6318,1215
0500000US13295,13295,"Walker County, Georgia",25110,1422,19252,1438,220,196,15676,1541,617,326,503,511,853,612,5005,1035
0500000US13297,13297,"Walton County, Georgia",30715,1037,24733,1510,176,159,20958,1512,2728,847,375,379,1043,647,4939,1082
0500000US13313,13313,"Whitfield County, Georgia",35858,1376,28548,1602,245,215,22691,1701,1109,403,966,604,505,334,6805,1216
0500000US15001,15001,"Hawaii County, Hawaii",69818,1668,52457,2167,270,300,44705,2102,3560,1010,508,331,4841,1247,12520,1724
0500000US15003,15003,"Honolulu County, Hawaii",309169,3715,264155,4371,815,344,234455,4182,10127,1222,1839,761,9758,1584,35256,2499
0500000US15007,15007,"Kauai County, Hawaii",23214,1021,19235,1383,592,401,14347,1461,406,257,162,246,734,318,3245,658
0500000US15009,15009,"Maui County, Hawaii",53612,1945,44981,2110,13,22,41158,1908,1680,524,397,230,3000,948,5631,1012
0500000US16001,16001,"Ada County, Idaho",167026,2212,125704,4167,877,558,109168,3911,14706,1756,1864,882,4988,1684,36334,3800
0500000US16005,16005,"Bannock County, Idaho",30106,1132,25843,1305,114,108,20302,1365,3006,683,227,153,346,245,3917,789
0500000US16019,16019,"Bonneville County, Idaho",38464,1040,34622,1333,189,155,27682,1324,3117,752,561,423,582,369,3260,853
0500000US16027,16027,"Canyon County, Idaho",69859,1249,58508,1806,448,276,45818,2369,7818,1352,804,548,1183,438,10168,1613
0500000US16055,16055,"Kootenai County, Idaho",58875,1834,49174,2283,177,170,38360,2197,5471,1260,1466,659,1744,640,7957,1629
0500000US16083,16083,"Twin Falls County, Idaho",30119,865,25862,1182,0,198,18866,1704,3128,877,1001,561,744,350,3513,951
0500000US17001,17001,"Adams County, Illinois",27414,734,21071,1235,67,107,15976,1353,2742,697,545,339,1055,564,5288,964
0500000US17019,17019,"Champaign County, Illinois",81856,2468,66803,2726,320,224,58342,2814,4253,962,836,506,6247,1199,8806,1696
0500000US17031,17031,"Cook County, Illinois",1963973,8769,1589385,10240,6946,1174,1329629,11145,106342,4199,22221,2249,69284,4649,305304,7523
0500000US17037,17037,"DeKalb County, Illinois",36690,1355,32491,1506,109,102,27903,1581,1545,490,226,233,675,334,3524,830
0500000US17043,17043,"DuPage County, Illinois",341320,2393,308853,3308,620,320,272504,3846,17470,1803,2311,651,5487,1074,26980,2341
0500000US17089,17089,"Kane County, Illinois",175360,2537,152605,3456,810,434,128296,3948,9223,1600,1502,668,3551,1127,19204,2385
0500000US17091,17091,"Kankakee County, Illinois",39314,1235,31205,1564,30,39,25789,1463,3441,727,481,238,1188,482,6921,1044
0500000US17093,17093,"Kendall County, Illinois",40752,620,37436,1373,86,91,31718,1838,2617,1005,285,332,519,433,2797,1246
0500000US17097,17097,"Lake County, Illinois",244390,2370,218197,2913,714,283,192283,3590,14671,1759,1929,685,4148,735,22045,2051
