GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37
0500000US06075,06075,"San Francisco County, California",358703,4561,(X),(X),331856,4838,92.5,0.8,311875,5406,86.9,0.9,24399,2349,6.8,0.7,298135,4950,83.1,0.9,13356,1983,3.7,0.6,231338,5153,64.5,1.2,2204,629,0.6,0.2,19156,2385,5.3,0.7,131,135,0.0,0.1,26847,2753,7.5,0.8,313942,5755,87.5,1.0,1227,464,0.3,0.1,312715,5725,87.2,1.0,285633,5491,79.6,1.0,23153,2693,6.5,0.7,284133,5572,79.2,1.2,11126,1486,3.1,0.4,44761,3753,12.5,1.0,48320,3483,(X),(X),149,147,0.3,0.3,26730,2810,55.3,4.0,21441,2437,44.4,4.0,89574,4191,(X),(X),752,339,0.8,0.4,72502,3893,80.9,2.4,16320,2328,18.2,2.4,220809,5027,(X),(X),326,281,0.1,0.1,213483,5133,96.7,0.7,7000,1590,3.2,0.7
0500000US06077,06077,"San Joaquin County, California",227186,2066,(X),(X),200581,3018,88.3,1.0,165045,3267,72.6,1.4,13588,1682,6.0,0.7,177928,3278,78.3,1.3,20575,2260,9.1,1.0,128595,3413,56.6,1.4,2654,641,1.2,0.3,6108,1384,2.7,0.6,0,206,0.0,0.1,26605,2387,11.7,1.0,185058,3158,81.5,1.2,564,263,0.2,0.1,184494,3123,81.2,1.2,159046,3211,70.0,1.4,26569,2470,11.7,1.1,149171,3692,65.7,1.5,18249,2122,8.0,0.9,42128,2760,18.5,1.2,34841,2790,(X),(X),203,171,0.6,0.5,17068,1960,49.0,4.0,17570,2008,50.4,4.1,103213,3867,(X),(X),334,201,0.3,0.2,82741,3706,80.2,2.0,20138,2220,19.5,2.0,89132,3341,(X),(X),27,45,0.0,0.1,84685,3264,95.0,1.1,4420,987,5.0,1.1
0500000US06079,06079,"San Luis Obispo County, California",106312,2380,(X),(X),98852,2417,93.0,1.3,91260,2500,85.8,1.6,9816,1285,9.2,1.2,84987,2805,79.9,2.0,4747,1119,4.5,1.0,62264,3081,58.6,2.6,450,295,0.4,0.3,3128,721,2.9,0.7,75,126,0.1,0.1,7460,1431,7.0,1.3,91799,2510,86.3,1.9,653,386,0.6,0.4,91146,2458,85.7,1.9,75078,2793,70.6,2.4,8903,1757,8.4,1.6,75432,2459,71.0,2.3,9406,1276,8.8,1.2,14513,2163,13.7,1.9,14530,1760,(X),(X),243,215,1.7,1.5,10077,1457,69.4,6.0,4210,1016,29.0,6.0,42765,2919,(X),(X),344,313,0.8,0.7,35155,2723,82.2,3.4,7266,1590,17.0,3.5,49017,2973,(X),(X),66,111,0.1,0.2,45914,2973,93.7,1.8,3037,901,6.2,1.8
0500000US06081,06081,"San Mateo County, California",263445,2321,(X),(X),251322,2871,95.4,0.6,235303,3680,89.3,1.1,18025,2046,6.8,0.8,225997,3357,85.8,1.0,8739,2078,3.3,0.8,188595,3802,71.6,1.3,1456,514,0.6,0.2,12802,1900,4.9,0.7,45,75,0.0,0.1,12123,1534,4.6,0.6,239675,3337,91.0,0.8,449,221,0.2,0.1,239226,3318,90.8,0.8,215688,3194,81.9,0.9,15824,1981,6.0,0.7,218755,3595,83.0,1.1,12661,1361,4.8,0.5,23770,2187,9.0,0.8,20029,2139,(X),(X),109,105,0.5,0.5,12772,1687,63.8,5.7,7148,1452,35.7,5.7,69607,3648,(X),(X),182,153,0.3,0.2,58089,3470,83.5,2.2,11336,1576,16.3,2.1,173809,3918,(X),(X),158,190,0.1,0.1,168365,3871,96.9,0.7,5286,1137,3.0,0.6
0500000US06083,06083,"Santa Barbara County, California",142449,2099,(X),(X),130247,2604,91.4,1.2,116892,3052,82.1,1.7,10347,1411,7.3,1.0,113193,2790,79.5,1.7,7124,1533,5.0,1.1,89003,2927,62.5,1.9,1778,639,1.2,0.4,4170,976,2.9,0.7,0,206,0.0,0.1,12202,1710,8.6,1.2,123984,2684,87.0,1.4,1492,828,1.0,0.6,122492,2692,86.0,1.5,109053,2887,76.6,1.7,12252,1724,8.6,1.2,104992,2733,73.7,1.7,8613,1185,6.0,0.8,18465,2035,13.0,1.4,18181,2277,(X),(X),300,269,1.7,1.4,12081,1873,66.4,6.1,5800,1232,31.9,5.7,60232,2726,(X),(X),906,687,1.5,1.1,49272,2753,81.8,2.8,10054,1617,16.7,2.6,64036,3211,(X),(X),286,251,0.4,0.4,61139,3105,95.5,1.0,2611,610,4.1,0.9
0500000US06085,06085,"Santa Clara County, California",635687,3094,(X),(X),607619,3621,95.6,0.4,569844,4800,89.6,0.7,36969,2399,5.8,0.4,553057,4265,87.0,0.5,20565,3030,3.2,0.5,463254,5794,72.9,0.9,3428,897,0.5,0.1,29373,2860,4.6,0.5,192,192,0.0,0.1,28068,2492,4.4,0.4,578925,4608,91.1,0.7,1634,514,0.3,0.1,577291,4642,90.8,0.7,533023,4884,83.8,0.7,40553,2714,6.4,0.4,525063,5220,82.6,0.8,31036,2162,4.9,0.3,56762,4238,8.9,0.7,56486,3571,(X),(X),330,340,0.6,0.6,36300,2928,64.3,3.2,19856,2147,35.2,3.2,164941,5419,(X),(X),723,300,0.4,0.2,139499,5619,84.6,1.7,24719,2745,15.0,1.6,414260,5213,(X),(X),581,241,0.1,0.1,401492,5642,96.9,0.4,12187,1684,2.9,0.4
0500000US06087,06087,"Santa Cruz County, California",96257,1860,(X),(X),89028,2338,92.5,1.6,83294,2521,86.5,2.0,8457,1490,8.8,1.6,77098,2693,80.1,2.1,3096,1048,3.2,1.1,61555,3033,63.9,2.7,803,489,0.8,0.5,3734,992,3.9,1.0,0,206,0.0,0.2,7229,1518,7.5,1.6,85152,2573,88.5,1.9,208,200,0.2,0.2,84944,2565,88.2,2.0,74227,2724,77.1,2.1,8032,1607,8.3,1.7,73115,2923,76.0,2.6,6257,1275,6.5,1.3,11105,1859,11.5,1.9,13267,1940,(X),(X),97,164,0.7,1.2,9598,1791,72.3,7.1,3572,994,26.9,6.9,32915,2554,(X),(X),111,113,0.3,0.3,27779,2423,84.4,3.6,5025,1280,15.3,3.7,50075,3096,(X),(X),0,206,0.0,0.3,47567,3296,95.0,1.7,2508,791,5.0,1.7
0500000US06089,06089,"Shasta County, California",72095,1299,(X),(X),64465,1400,89.4,1.3,57095,1707,79.2,2.0,9788,1272,13.6,1.8,50876,2063,70.6,2.4,4689,991,6.5,1.4,34623,2020,48.0,2.7,719,404,1.0,0.6,1615,606,2.2,0.8,0,206,0.0,0.2,7630,977,10.6,1.3,57113,1679,79.2,2.0,572,362,0.8,0.5,56541,1704,78.4,2.0,42950,1784,59.6,2.3,5652,1209,7.8,1.7,45271,1874,62.8,2.6,7495,1245,10.4,1.7,14982,1494,20.8,2.0,14545,1478,(X),(X),148,173,1.0,1.2,7760,1098,53.4,5.7,6637,1120,45.6,5.9,37569,1980,(X),(X),375,319,1.0,0.8,29832,1820,79.4,2.8,7362,1157,19.6,2.8,19981,1600,(X),(X),49,83,0.2,0.4,18949,1557,94.8,2.1,983,424,4.9,2.1
0500000US06095,06095,"Solano County, California",149172,1723,(X),(X),140001,1852,93.9,0.9,125017,2768,83.8,1.5,9346,1293,6.3,0.9,125648,2354,84.2,1.3,9168,1907,6.1,1.3,90975,3216,61.0,2.0,1158,483,0.8,0.3,3808,957,2.6,0.6,0,206,0.0,0.1,9171,1401,6.1,0.9,134163,2311,89.9,1.3,43,33,0.0,0.1,134120,2312,89.9,1.3,122046,2876,81.8,1.7,15681,2150,10.5,1.4,113545,3102,76.1,1.9,10627,1428,7.1,1.0,15009,1903,10.1,1.3,15682,2108,(X),(X),0,206,0.0,1.1,9889,1666,63.1,6.9,5793,1377,36.9,6.9,59812,2783,(X),(X),20,33,0.0,0.1,52924,2732,88.5,2.1,6868,1294,11.5,2.1,73678,3058,(X),(X),23,37,0.0,0.1,71307,2789,96.8,1.0,2348,801,3.2,1.0
0500000US06097,06097,"Sonoma County, California",187504,2620,(X),(X),173568,3139,92.6,1.1,159977,3526,85.3,1.4,18329,1979,9.8,1.1,146335,3270,78.0,1.4,6747,1690,3.6,0.9,115981,3283,61.9,1.6,1852,676,1.0,0.4,4849,1113,2.6,0.6,0,206,0.0,0.1,13936,2066,7.4,1.1,164486,3297,87.7,1.3,658,340,0.4,0.2,163828,3273,87.4,1.3,139861,3400,74.6,1.5,17191,2167,9.2,1.1,139020,3381,74.1,1.6,15081,1641,8.0,0.9,23018,2400,12.3,1.3,20587,2178,(X),(X),231,199,1.1,1.0,12760,1630,62.0,5.5,7596,1507,36.9,5.6,74431,3538,(X),(X),234,201,0.3,0.3,61770,3544,83.0,2.5,12427,1912,16.7,2.5,92486,3111,(X),(X),193,188,0.2,0.2,89298,3241,96.6,0.8,2995,751,3.2,0.8
0500000US06099,06099,"Stanislaus County, California",172881,1805,(X),(X),155940,2784,90.2,1.2,125294,3681,72.5,2.0,8895,1472,5.1,0.9,142234,2802,82.3,1.2,19390,2488,11.2,1.4,99313,3748,57.4,2.1,1366,527,0.8,0.3,5822,1453,3.4,0.8,8,13,0.0,0.1,16941,1973,9.8,1.2,143912,3346,83.2,1.6,414,239,0.2,0.1,143498,3307,83.0,1.6,128582,3322,74.4,1.6,22445,2263,13.0,1.3,111927,3599,64.7,1.9,14158,1595,8.2,0.9,28969,2715,16.8,1.6,27609,2649,(X),(X),90,104,0.3,0.4,15573,2170,56.4,5.3,11946,1802,43.3,5.3,83324,3081,(X),(X),256,193,0.3,0.2,69214,2895,83.1,2.6,13854,2349,16.6,2.6,61948,3066,(X),(X),68,109,0.1,0.2,58711,3001,94.8,1.3,3169,846,5.1,1.3
0500000US06101,06101,"Sutter County, California",32345,817,(X),(X),28158,1237,87.1,3.0,23031,1505,71.2,4.5,2203,617,6.8,1.9,24336,1376,75.2,3.6,3014,861,9.3,2.6,17743,1432,54.9,4.2,419,345,1.3,1.1,527,309,1.6,1.0,0,206,0.0,0.5,4187,974,12.9,3.0,26512,1309,82.0,3.5,234,167,0.7,0.5,26278,1310,81.2,3.4,22443,1452,69.4,4.0,6208,1019,19.2,3.1,18657,1295,57.7,3.8,3046,814,9.4,2.5,5833,1124,18.0,3.5,5104,914,(X),(X),0,206,0.0,3.4,2709,725,53.1,9.1,2395,578,46.9,9.1,17287,1399,(X),(X),185,129,1.1,0.8,14199,1311,82.1,4.9,2903,909,16.8,4.9,9954,1245,(X),(X),49,83,0.5,0.8,9370,1168,94.1,3.2,535,344,5.4,3.3
0500000US06107,06107,"Tulare County, California",135648,1649,(X),(X),119432,2367,88.0,1.3,90017,2842,66.4,1.9,7466,1370,5.5,1.0,106855,2472,78.8,1.5,18298,2223,13.5,1.6,73654,3104,54.3,2.1,1844,689,1.4,0.5,2606,798,1.9,0.6,0,206,0.0,0.1,16216,1762,12.0,1.3,107650,2632,79.4,1.6,521,403,0.4,0.3,107129,2596,79.0,1.6,85172,2867,62.8,2.0,30814,3069,22.7,2.2,68507,3223,50.5,2.3,11790,1563,8.7,1.2,27998,2185,20.6,1.6,26214,2430,(X),(X),280,359,1.1,1.4,14521,1998,55.4,4.5,11413,1401,43.5,4.5,71470,3109,(X),(X),241,204,0.3,0.3,56676,3165,79.3,2.4,14553,1802,20.4,2.5,37964,2304,(X),(X),0,206,0.0,0.5,35932,2329,94.6,1.5,2032,571,5.4,1.5
0500000US06111,06111,"Ventura County, California",268091,2469,(X),(X),246321,3319,91.9,0.8,223000,3724,83.2,1.1,21079,1494,7.9,0.6,215579,3585,80.4,1.0,13446,1913,5.0,0.7,171206,4147,63.9,1.3,2219,800,0.8,0.3,20710,2447,7.7,0.9,0,206,0.0,0.1,21770,1992,8.1,0.8,232180,3662,86.6,1.0,745,344,0.3,0.1,231435,3633,86.3,1.0,207384,3526,77.4,1.0,18364,2273,6.8,0.8,207206,4010,77.3,1.2,14578,1487,5.4,0.5,35911,2637,13.4,1.0,25347,2451,(X),(X),180,185,0.7,0.7,14810,1870,58.4,4.4,10357,1437,40.9,4.3,100718,3678,(X),(X),497,327,0.5,0.3,80954,3374,80.4,2.0,19267,2230,19.1,2.0,142026,3784,(X),(X),68,79,0.0,0.1,135671,3617,95.5,0.7,6287,1066,4.4,0.7
0500000US06113,06113,"Yolo County, California",73055,1314,(X),(X),68421,1566,93.7,1.4,61284,2136,83.9,2.4,4217,829,5.8,1.1,61579,1656,84.3,1.7,4175,1317,5.7,1.8,46963,2191,64.3,2.8,467,282,0.6,0.4,1852,680,2.5,0.9,0,206,0.0,0.2,4634,998,6.3,1.4,63852,2109,87.4,2.2,273,231,0.4,0.3,63579,2112,87.0,2.2,58229,1881,79.7,2.0,10566,1419,14.5,1.9,50623,2280,69.3,2.7,4437,872,6.1,1.2,9203,1600,12.6,2.2,13360,1542,(X),(X),0,206,0.0,1.3,9067,1390,67.9,7.2,4293,1102,32.1,7.2,28995,2154,(X),(X),216,212,0.7,0.7,25081,2321,86.5,3.7,3698,1031,12.8,3.6,30700,1738,(X),(X),57,91,0.2,0.3,29431,1728,95.9,1.7,1212,514,3.9,1.6
0500000US06115,06115,"Yuba County, California",26699,679,(X),(X),24016,1007,90.0,3.0,20223,1172,75.7,4.0,2310,819,8.7,3.1,21046,1335,78.8,4.2,2749,794,10.3,3.0,14916,1163,55.9,4.1,245,180,0.9,0.7,228,240,0.9,0.9,0,206,0.0,0.7,2683,804,10.0,3.0,21523,1150,80.6,3.9,160,187,0.6,0.7,21363,1160,80.0,3.9,18600,1225,69.7,4.1,4125,1009,15.5,3.7,15493,1377,58.0,5.0,3107,886,11.6,3.3,5176,1045,19.4,3.9,4489,983,(X),(X),0,206,0.0,3.8,2319,712,51.7,11.8,2170,737,48.3,11.8,13840,1279,(X),(X),160,187,1.2,1.4,11140,1341,80.5,6.3,2540,895,18.4,6.2,8370,1163,(X),(X),0,206,0.0,2.1,7904,1096,94.4,4.0,466,342,5.6,4.0
0500000US08001,08001,"Adams County, Colorado",163122,1428,(X),(X),152148,2007,93.3,0.9,131454,2576,80.6,1.5,11048,1473,6.8,0.9,136382,2428,83.6,1.3,13565,1794,8.3,1.1,97025,3396,59.5,2.0,683,419,0.4,0.3,5222,1112,3.2,0.7,0,195,0.0,0.1,10974,1472,6.7,0.9,137942,2615,84.6,1.3,500,281,0.3,0.2,137442,2657,84.3,1.4,116820,2818,71.6,1.6,12462,1538,7.6,0.9,120596,2903,73.9,1.6,11636,1374,7.1,0.8,25180,2173,15.4,1.3,16694,1745,(X),(X),0,195,0.0,0.9,8059,1289,48.3,6.2,8635,1414,51.7,6.2,74213,3143,(X),(X),382,265,0.5,0.4,61204,2773,82.5,2.3,12627,1852,17.0,2.2,72215,2706,(X),(X),118,113,0.2,0.2,68179,2814,94.4,1.6,3918,1160,5.4,1.6
0500000US08005,08005,"Arapahoe County, Colorado",235942,2086,(X),(X),223656,2683,94.8,0.8,205635,3052,87.2,1.1,16488,1601,7.0,0.7,199167,2879,84.4,1.0,10095,1703,4.3,0.7,146574,3893,62.1,1.5,1137,411,0.5,0.2,6298,1007,2.7,0.4,191,188,0.1,0.1,12286,1872,5.2,0.8,208867,2924,88.5,0.9,849,382,0.4,0.2,208018,2943,88.2,1.0,176979,3633,75.0,1.4,22389,2486,9.5,1.0,179814,3402,76.2,1.3,13460,1362,5.7,0.6,27075,2226,11.5,0.9,22041,2159,(X),(X),307,254,1.4,1.1,13933,1556,63.2,4.1,7801,1251,35.4,4.3,102397,3643,(X),(X),475,276,0.5,0.3,87886,3612,85.8,1.7,14036,1713,13.7,1.6,111504,3293,(X),(X),67,79,0.1,0.1,106199,3292,95.2,1.0,5238,1135,4.7,1.0
0500000US08013,08013,"Boulder County, Colorado",123820,2004,(X),(X),118274,2129,95.5,0.8,112618,2415,91.0,1.2,10164,1538,8.2,1.2,103402,2526,83.5,1.4,2768,808,2.2,0.7,79919,3333,64.5,2.4,772,451,0.6,0.4,3680,768,3.0,0.6,39,66,0.0,0.1,5546,1021,4.5,0.8,112322,2541,90.7,1.3,316,233,0.3,0.2,112006,2577,90.5,1.3,99638,2634,80.5,1.7,7620,1221,6.2,1.0,100844,2649,81.4,1.5,6773,1106,5.5,0.9,11498,1555,9.3,1.3,15444,1658,(X),(X),61,105,0.4,0.7,11153,1343,72.2,5.8,4230,1081,27.4,5.8,46699,2386,(X),(X),210,177,0.4,0.4,40878,2139,87.5,2.4,5611,1189,12.0,2.3,61677,2245,(X),(X),45,76,0.1,0.1,59975,2321,97.2,0.9,1657,517,2.7,0.8
0500000US08014,08014,"Broomfield County, Colorado",26269,479,(X),(X),25672,509,97.7,1.0,24147,854,91.9,2.8,1914,593,7.3,2.3,22981,781,87.5,2.5,731,467,2.8,1.8,19585,1058,74.6,3.7,226,239,0.9,0.9,733,328,2.8,1.2,0,195,0.0,0.6,597,256,2.3,1.0,24858,697,94.6,2.1,68,76,0.3,0.3,24790,691,94.4,2.1,19846,1236,75.5,4.6,1379,556,5.2,2.1,22893,915,87.1,3.2,1381,448,5.3,1.7,1411,549,5.4,2.1,N,N,(X),(X),N,N,N,N,N,N,N,N,N,N,N,N,N,N,(X),(X),N,N,N,N,N,N,N,N,N,N,N,N,N,N,(X),(X),N,N,N,N,N,N,N,N,N,N,N,N
0500000US08031,08031,"Denver County, Colorado",292003,2724,(X),(X),272808,3663,93.4,0.8,236568,3990,81.0,1.2,18672,1820,6.4,0.6,244398,4106,83.7,1.1,24081,2496,8.2,0.8,169678,4163,58.1,1.4,3084,930,1.1,0.3,6307,1235,2.2,0.4,49,80,0.0,0.1,19195,2437,6.6,0.8,250886,3862,85.9,1.2,913,450,0.3,0.2,249973,3794,85.6,1.2,221908,4281,76.0,1.3,23473,2531,8.0,0.9,219759,4580,75.3,1.5,13450,1744,4.6,0.6,41117,3469,14.1,1.2,44583,3670,(X),(X),236,229,0.5,0.5,27969,2602,62.7,4.2,16378,2555,36.7,4.2,127455,4298,(X),(X),322,237,0.3,0.2,107134,4256,84.1,1.6,19999,2183,15.7,1.7,119965,4088,(X),(X),355,265,0.3,0.2,114870,4035,95.8,0.9,4740,1051,4.0,0.9
0500000US08035,08035,"Douglas County, Colorado",120125,1373,(X),(X),118203,1615,98.4,0.5,113794,2086,94.7,1.2,6595,1099,5.5,0.9,107667,2039,89.6,1.2,1542,781,1.3,0.7,94347,2482,78.5,1.7,669,505,0.6,0.4,5466,918,4.6,0.8,40,68,0.0,0.1,1922,647,1.6,0.5,115640,1706,96.3,0.8,320,194,0.3,0.2,115320,1740,96.0,0.8,105618,2306,87.9,1.5,5171,1254,4.3,1.0,105224,2165,87.6,1.5,12349,1615,10.3,1.3,4485,914,3.7,0.8,5402,981,(X),(X),0,195,0.0,2.9,4702,902,87.0,8.5,700,493,13.0,8.5,33656,2225,(X),(X),109,108,0.3,0.3,30863,2269,91.7,2.4,2684,778,8.0,2.3,81067,2392,(X),(X),211,161,0.3,0.2,79755,2350,98.4,0.6,1101,453,1.4,0.6
0500000US08041,08041,"El Paso County, Colorado",257508,2763,(X),(X),245393,3180,95.3,0.7,218720,3763,84.9,1.1,21193,1860,8.2,0.7,214856,3707,83.4,1.0,16479,2469,6.4,1.0,166006,3910,64.5,1.3,1566,487,0.6,0.2,6900,1226,2.7,0.5,92,109,0.0,0.1,12115,1742,4.7,0.7,235051,3161,91.3,0.7,1241,550,0.5,0.2,233810,3095,90.8,0.7,198466,3848,77.1,1.2,25051,2547,9.7,1.0,200119,3668,77.7,1.2,18075,1906,7.0,0.7,22457,1900,8.7,0.7,34078,2586,(X),(X),157,132,0.5,0.4,25186,2470,73.9,4.0,8735,1425,25.6,3.9,115510,4935,(X),(X),630,440,0.5,0.4,104730,4686,90.7,1.1,10150,1331,8.8,1.1,107920,3844,(X),(X),454,285,0.4,0.3,103894,3670,96.3,0.9,3572,941,3.3,0.8
0500000US08059,08059,"Jefferson County, Colorado",230890,1877,(X),(X),218200,2480,94.5,0.7,202943,3101,87.9,1.2,20273,1900,8.8,0.8,187807,2482,81.3,0.9,8847,1581,3.8,0.7,144287,3463,62.5,1.5,1590,528,0.7,0.2,6360,999,2.8,0.4,0,195,0.0,0.1,12690,1719,5.5,0.7,209964,2715,90.9,0.9,1440,459,0.6,0.2,208524,2745,90.3,0.9,184203,3033,79.8,1.2,15083,1736,6.5,0.7,184870,2925,80.1,1.2,18313,1412,7.9,0.6,20926,2097,9.1,0.9,20614,1901,(X),(X),224,154,1.1,0.7,12797,1732,62.1,5.3,7593,1170,36.8,5.1,95974,3880,(X),(X),823,399,0.9,0.4,84669,3786,88.2,1.4,10482,1304,10.9,1.4,114302,3261,(X),(X),393,242,0.3,0.2,111058,3287,97.2,0.7,2851,846,2.5,0.7
0500000US08069,08069,"Larimer County, Colorado",131407,1911,(X),(X),125808,2019,95.7,0.8,116497,2824,88.7,1.7,11368,1577,8.7,1.2,108274,2435,82.4,1.6,5488,1419,4.2,1.1,83998,3079,63.9,2.1,963,432,0.7,0.3,4589,1054,3.5,0.8,156,189,0.1,0.1,5599,1003,4.3,0.8,116578,2564,88.7,1.4,523,298,0.4,0.2,116055,2574,88.3,1.5,95985,3198,73.0,2.2,9332,1543,7.1,1.2,100097,2650,76.2,1.7,10201,1417,7.8,1.1,14829,1890,11.3,1.4,16559,1922,(X),(X),154,163,0.9,1.0,12386,1775,74.8,5.2,4019,924,24.3,5.2,56738,2886,(X),(X),212,181,0.4,0.3,48561,2478,85.6,2.6,7965,1596,14.0,2.5,58110,2576,(X),(X),157,205,0.3,0.4,55108,2600,94.8,1.6,2845,897,4.9,1.5
0500000US08077,08077,"Mesa County, Colorado",60188,1483,(X),(X),55559,1756,92.3,1.7,48999,1837,81.4,2.4,5587,1134,9.3,1.9,46952,2260,78.0,2.8,4600,1183,7.6,1.9,33193,2221,55.1,3.5,469,261,0.8,0.4,758,347,1.3,0.6,0,195,0.0,0.3,4629,1012,7.7,1.7,52692,1906,87.5,2.1,315,254,0.5,0.4,52377,1952,87.0,2.2,45647,1997,75.8,2.6,5910,1341,9.8,2.2,44203,2281,73.4,3.3,3427,884,5.7,1.5,7496,1287,12.5,2.1,13663,2074,(X),(X),22,37,0.2,0.3,10153,1828,74.3,5.9,3488,902,25.5,5.8,28840,2360,(X),(X),181,154,0.6,0.5,25600,2228,88.8,2.7,3059,815,10.6,2.7,17685,1809,(X),(X),112,148,0.6,0.8,16624,1791,94.0,2.6,949,441,5.4,2.5
0500000US08101,08101,"Pueblo County, Colorado",62275,1632,(X),(X),54407,1925,87.4,2.0,43823,1917,70.4,2.7,5973,993,9.6,1.6,45130,2146,72.5,2.5,6381,1131,10.2,1.7,32801,1920,52.7,2.7,622,293,1.0,0.5,1759,612,2.8,1.0,45,72,0.1,0.1,7868,1279,12.6,2.0,48494,2204,77.9,2.7,332,193,0.5,0.3,48162,2212,77.3,2.7,40602,2201,65.2,2.9,8057,1277,12.9,2.0,38209,2195,61.4,3.0,5587,885,9.0,1.4,13781,1702,22.1,2.7,13237,1332,(X),(X),48,81,0.4,0.6,7108,1062,53.7,6.4,6081,1079,45.9,6.3,31681,1716,(X),(X),240,164,0.8,0.5,25279,1598,79.8,4.1,6162,1399,19.5,4.0,17357,1450,(X),(X),44,73,0.3,0.4,15775,1545,90.9,4.0,1538,693,8.9,4.0
0500000US08123,08123,"Weld County, Colorado",102087,1317,(X),(X),94594,1445,92.7,1.0,81467,1719,79.8,1.7,6233,887,6.1,0.9,84840,1650,83.1,1.2,8389,1426,8.2,1.4,63994,2282,62.7,2.2,874,397,0.9,0.4,3780,1055,3.7,1.0,0,195,0.0,0.2,7493,1026,7.3,1.0,86699,2024,84.9,1.7,256,149,0.3,0.1,86443,2026,84.7,1.7,76609,2045,75.0,1.7,9558,1262,9.4,1.2,69939,2337,68.5,2.1,10419,1245,10.2,1.2,15388,1716,15.1,1.7,14292,1903,(X),(X),115,121,0.8,0.8,8314,1420,58.2,6.4,5863,1232,41.0,6.5,45633,2559,(X),(X),113,80,0.2,0.2,37635,2195,82.5,2.4,7885,1269,17.3,2.4,42162,1764,(X),(X),28,48,0.1,0.1,40494,1882,96.0,1.5,1640,640,3.9,1.5
0500000US09001,09001,"Fairfield County, Connecticut",335318,3387,(X),(X),306332,3849,91.4,0.8,279142,4623,83.2,1.1,26116,2221,7.8,0.7,265269,4289,79.1,1.1,12794,1880,3.8,0.6,222298,4103,66.3,1.1,3174,865,0.9,0.3,11296,1948,3.4,0.6,124,162,0.0,0.1,28986,2711,8.6,0.8,292180,4327,87.1,1.0,798,360,0.2,0.1,291382,4304,86.9,1.0,246161,4721,73.4,1.3,21603,1853,6.4,0.6,264998,4858,79.0,1.2,8873,1660,2.6,0.5,43138,3423,12.9,1.0,35755,2590,(X),(X),341,231,1.0,0.7,20330,2151,56.9,4.2,15084,1874,42.2,4.3,110181,3655,(X),(X),227,201,0.2,0.2,89101,3724,80.9,2.0,20853,2351,18.9,2.0,189382,4208,(X),(X),230,174,0.1,0.1,181951,4008,96.1,0.7,7201,1326,3.8,0.7
